date,taxi_trips,fhv_trips,log_taxi,log_fhv,d1_taxi,d1_fhv,d7_taxi,d7_fhv,final_taxi,final_fhv
2020-03-31,9446,20232,9.153346650456063,9.915020788349802,-0.01398183092682892,-0.070553535184435745,-0.13589127572561388,-0.14085388837167123,0.12190944479878496,0.07030035318723549
2020-04-01,9468,21349,9.155672970633875,9.968760179152325,0.002326320177811425,0.05373939080252299,-0.055873669136419224,-0.015537064509370424,0.05819998931423065,0.06927645531189341
2020-04-02,8786,20038,9.080914824535725,9.905385749819208,-0.07475814609814968,-0.06337442933311621,-0.0494774708914818,-0.009248620837661647,-0.02528067520666788,-0.054125808495454564
2020-04-03,10309,21878,9.240772579096385,9.993236844679735,0.15985775456065987,0.08785109486052711,0.09917227234396897,0.034650676464865526,0.0606854822166909,0.053200418395661586
2020-04-04,6396,15169,8.763428073953845,9.627009150591672,-0.4773445051425398,-0.36622769408806377,-0.43375243170604527,-0.32084058251195025,-0.043592073436494516,-0.045387111576113526
2020-04-05,5046,10426,8.526351129201004,9.252057965328051,-0.23707694475284136,-0.3749511852636207,-0.3204864520571409,-0.3911544765179489,0.08340950730429952,0.016203291254328178
2020-04-06,8270,19838,9.020389788017736,9.895354569305939,0.4940386588167325,0.6432966039778876,0.5475787016415623,0.5726196914963371,-0.053540042824829825,0.0706769124815505
2020-04-07,7886,19082,8.972844314437573,9.856500761311791,-0.047545473580163033,-0.038853807994147616,-0.01398183092682892,-0.070553535184435745,-0.033563642653334114,0.03169972719028813
2020-04-08,7915,18964,8.976514972315112,9.85029772402201,0.00367065787753873,-0.006203037289781221,0.002326320177811425,0.05373939080252299,0.0013443376997273049,-0.05994242809230421
2020-04-09,7827,17619,8.965334573804839,9.77673314419063,-0.011180398510273193,-0.07356457983138043,-0.07475814609814968,-0.06337442933311621,0.06357774758787649,-0.010190150498264217
2020-04-10,8585,18566,9.057771773331575,9.829087229959878,0.09243719952673679,0.052354085769248826,0.15985775456065987,0.08785109486052711,-0.06742055503392308,-0.035497009091278287
2020-04-11,6269,14855,8.743372131273969,9.606091787896707,-0.31439964205760695,-0.222995442063171,-0.4773445051425398,-0.36622769408806377,0.16294486308493283,0.14323225202489276
2020-04-12,4432,10086,8.39660622842712,9.21890360263667,-0.34676590284684927,-0.38718818526003673,-0.23707694475284136,-0.3749511852636207,-0.10968895809400792,-0.012236999996416031
2020-04-13,7469,19235,8.918516400357067,9.864486815186396,0.5219101719299477,0.6455832125497256,0.4940386588167325,0.6432966039778876,0.02787151311321523,0.0022866085718380447
2020-04-14,8329,18812,9.02749867993534,9.842250243064939,0.10898227957827267,-0.022236572121457243,-0.047545473580163033,-0.038853807994147616,0.1565277531584357,0.016617235872690372
2020-04-15,8303,19229,9.02437217426203,9.864174835150587,-0.00312650567330941,0.021924592085648342,0.00367065787753873,-0.006203037289781221,-0.00679716355084814,0.028127629375429564
2020-04-16,8495,19506,9.047233034106032,9.87847738953196,0.02286085984400188,0.014302554381373511,-0.011180398510273193,-0.07356457983138043,0.03404125835427507,0.08786713421275394
2020-04-17,9672,21873,9.176990392294629,9.99300827847454,0.12975735818859668,0.11453088894258023,0.09243719952673679,0.052354085769248826,0.03732015866185989,0.06217680317333141
2020-04-18,5808,15622,8.666991556504632,9.656435456170243,-0.5099988357899967,-0.33657282230429786,-0.31439964205760695,-0.222995442063171,-0.19559919373238976,-0.11357738024112685
2020-04-19,5122,11394,8.541300266759471,9.34084218004034,-0.12569128974516097,-0.31559327612990273,-0.34676590284684927,-0.38718818526003673,0.2210746131016883,0.071594909130134
