"model","AIC","BIC"
"ARMA(2,1)",-334.98373893553,-317.457081255868
"ARMA(1,2)",-333.593624072518,-316.066966392856
"ARMA(2,2)",-332.995636338067,-311.963647122472
"ARMA(1,1)",-329.712751689927,-315.691425546197
