sample,taxi_mean,fhv_mean,taxi_sd,fhv_sd,taxi_min,fhv_min,taxi_median,fhv_median,taxi_max,fhv_max,taxi_total,fhv_total,n_days
Full Year (2020),67344.8606557377,40750.866120218576,73712.32513211932,16163.421379001966,4432,10086,38616.5,40507,258277,79491,24648219,14914817,366
Post-PAUSE (2020-03-23 onward),31788.679577464787,34282.640845070426,18246.60074503075,9630.149567025052,4432,10086,29470,35781.5,66249,48177,9027985,9736270,284
