"model","AIC","BIC","LjungBox_p"
"ARMA(1,2)",-212.138177013828,-194.036172685242,0.000103709379949968
"ARMA(2,1)",-210.638127726915,-192.536123398329,5.54585102802152e-05
"ARMA(2,2)",-210.157806891271,-188.435401696968,9.89337755765707e-05
"ARMA(1,1)",-208.549009333555,-194.067405870687,8.042402376085e-05
