date,volatility
2021-01-01,0.18839111045718285
2021-01-02,0.20567620306833906
2021-01-03,0.22160184797939148
2021-01-04,0.23644291672325182
2021-01-05,0.25039234979415614
2021-01-06,0.2635917558010428
2021-01-07,0.2761487177811754
2021-01-08,0.28814724957468535
2021-01-09,0.29965445069209895
2021-01-10,0.3107249237658496
2021-01-11,0.32140381063474793
2021-01-12,0.33172894100530886
2021-01-13,0.34173239154289237
2021-01-14,0.3514416418433945
2021-01-15,0.3608804478124427
2021-01-16,0.3700695125716386
2021-01-17,0.37902700947314266
2021-01-18,0.3877689952220092
2021-01-19,0.39630974007843717
2021-01-20,0.4046619946203611
2021-01-21,0.4128372073582701
2021-01-22,0.42084570383775655
2021-01-23,0.428696835247618
2021-01-24,0.4363991026500878
2021-01-25,0.443960261550516
2021-01-26,0.4513874104814241
2021-01-27,0.4586870664905523
2021-01-28,0.4658652298247114
2021-01-29,0.4729274396417751
2021-01-30,0.4798788222267959
