"model","AIC","BIC"
"ARMA(1,2)",-539.085945021018,-521.559287341356
"ARMA(1,1)",-538.324854004054,-524.303527860325
"ARMA(2,2)",-537.674801255553,-516.642812039959
"ARMA(2,1)",-536.834912686831,-519.308255007169
