date,volatility
2020-03-31,0.16734530097965508
2020-04-01,0.16734530097965508
2020-04-02,0.10244965810552975
2020-04-03,0.08530934058856066
2020-04-04,0.09853825575438467
2020-04-05,0.08720766111721381
2020-04-06,0.1129179884086187
2020-04-07,0.08697369238362784
2020-04-08,0.09070490334578059
2020-04-09,0.08413459903264557
2020-04-10,0.10084813224952884
2020-04-11,0.09659469338071552
2020-04-12,0.16727582486827394
2020-04-13,0.1006431224916056
2020-04-14,0.08575532904187831
2020-04-15,0.18730470316499082
2020-04-16,0.10740004358240306
2020-04-17,0.11540592797884655
2020-04-18,0.1245800610636857
2020-04-19,0.15749607886464614
2020-04-20,0.21008798899508685
2020-04-21,0.09036200203237217
2020-04-22,0.11943240650415951
2020-04-23,0.09921470886982274
2020-04-24,0.08473558679595869
2020-04-25,0.09463011513540312
2020-04-26,0.24664712138302033
2020-04-27,0.17349603536289354
2020-04-28,0.11535249770381789
2020-04-29,0.131100797973427
2020-04-30,0.08474655040022082
2020-05-01,0.10713413412371468
2020-05-02,0.13837702675264782
2020-05-03,0.0867841947068037
2020-05-04,0.1360977496845484
2020-05-05,0.08470036928203058
2020-05-06,0.08358346174541174
2020-05-07,0.0998304028520464
2020-05-08,0.08623918002282793
2020-05-09,0.10126945191525945
2020-05-10,0.12844752356061112
2020-05-11,0.13660220210659077
2020-05-12,0.09571170840436312
2020-05-13,0.08896498010174843
2020-05-14,0.08480305282259681
2020-05-15,0.08380126391111649
2020-05-16,0.08355905635814251
2020-05-17,0.1062092092136509
2020-05-18,0.1968756919516901
2020-05-19,0.090539642933878825
2020-05-20,0.0920284394253444
2020-05-21,0.10429575827493054
2020-05-22,0.09543248381237053
2020-05-23,0.09579087113661496
2020-05-24,0.2562056868141373
2020-05-25,0.22267304757712358
2020-05-26,0.4899868662777069
2020-05-27,0.3300026309966598
2020-05-28,0.15498670756219968
2020-05-29,0.08825061262372187
2020-05-30,0.08728507250068085
2020-05-31,0.2924423874648394
2020-06-01,0.1555252064778215
2020-06-02,0.5335048557401001
2020-06-03,0.3036767865855268
2020-06-04,0.16537141326788027
2020-06-05,0.11039618707980975
2020-06-06,0.09766651269670135
2020-06-07,0.09131586902130961
2020-06-08,0.08812914640386642
2020-06-09,0.08967470435869565
2020-06-10,0.08970744419512584
2020-06-11,0.08832678079098341
2020-06-12,0.09710233350517558
2020-06-13,0.10588754024480718
2020-06-14,0.0872887876433044
2020-06-15,0.10208648743876803
2020-06-16,0.09415977648604758
2020-06-17,0.08390429974284716
2020-06-18,0.08396805025871962
2020-06-19,0.08494001115231861
2020-06-20,0.08769719215401374
2020-06-21,0.10641072467656097
2020-06-22,0.11634804825361893
2020-06-23,0.12366703370326429
2020-06-24,0.08898613654940363
2020-06-25,0.08536237172248487
2020-06-26,0.08925512174152381
2020-06-27,0.09774180038775027
2020-06-28,0.08683836937593882
2020-06-29,0.08415580659818551
2020-06-30,0.1267348907840998
2020-07-01,0.12588226968746014
2020-07-02,0.0961827118599637
2020-07-03,0.08372943014843211
2020-07-04,0.34280740049448877
2020-07-05,0.11764216870157297
2020-07-06,0.09709977056720728
2020-07-07,0.08444400991323579
2020-07-08,0.0877113069517137
2020-07-09,0.08557900282073984
2020-07-10,0.08352923786532322
2020-07-11,0.13563614608509328
2020-07-12,0.1487549509705335
2020-07-13,0.08814334628701465
2020-07-14,0.13080516584617136
2020-07-15,0.08485820794542889
2020-07-16,0.08396542348052596
2020-07-17,0.11311060261348553
2020-07-18,0.13014860357332136
2020-07-19,0.09442294225898874
2020-07-20,0.16715246047941867
2020-07-21,0.0856781242944645
2020-07-22,0.08657709199882256
2020-07-23,0.08518040768501227
2020-07-24,0.0952644280170321
2020-07-25,0.08398464900944949
2020-07-26,0.09463241518408458
2020-07-27,0.10342714680519928
2020-07-28,0.08390034305426558
2020-07-29,0.0851282815297296
2020-07-30,0.08352139855000672
2020-07-31,0.09001615221770266
2020-08-01,0.10431965215840808
2020-08-02,0.08409955806271922
2020-08-03,0.0874359933570003
2020-08-04,0.08447744307002655
2020-08-05,0.32305711290818734
2020-08-06,0.1548666618871014
2020-08-07,0.09376230250575342
2020-08-08,0.09596892279693763
2020-08-09,0.11508445406354545
2020-08-10,0.12324382737577946
2020-08-11,0.11437356918559868
2020-08-12,0.2729689791908373
2020-08-13,0.1951243940457686
2020-08-14,0.12806556025430066
2020-08-15,0.08739999874655749
