"model","AIC","BIC","LjungBox_p"
"ARMA(1,2)",-437.286440261129,-419.184435932544,2.21070244155186e-06
"ARMA(2,2)",-435.340237000593,-413.617831806291,1.86674677249421e-06
"ARMA(1,1)",-434.6584296754,-420.176826212532,2.08001776655919e-05
"ARMA(2,1)",-433.884468535662,-415.782464207077,9.46393974787796e-06
